OverscriptBox,Overscript,710,7,"{{Row[{""expr1"", ""\&"", ""expr2""}]}}","Row[{""OverscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
UnderscriptBox,Underscript,710,7,"{{Row[{""expr1"", ""\+"", ""expr2""}]}}","Row[{""UnderscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
OverunderscriptBox,Underoverscript,700,7.5,"{{Row[{""expr1"", ""\&"", ""expr2"", ""\%"", ""expr3""}]}}","Row[{""UnderoverscriptBox"", ""["", ""expr1"", "","", ""expr3"", "","", ""expr2"", ""]""}]",True,Ternary,Infix,,,
UnderoverscriptBox,Underoverscript,700,7.5,"{{Row[{""expr1"", ""\+"", ""expr2"", ""\%"", ""expr3""}]}}","Row[{""UnderoverscriptBox"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",True,Ternary,Infix,,,
SubscriptBox,Subscript,695,8,"{{Row[{""expr1"", ""\_"", ""expr2""}]}}","Row[{""SubscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
SubsuperscriptBox,Subsuperscript,695,8,"{{Row[{""expr1"", ""\_"", ""expr2"", ""\%"", ""expr3""}]}}","Row[{""SubsuperscriptBox"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",True,Ternary,Infix,,,
PatternTest,PatternTest,690,9,"{{Row[{""expr1"", ""?"", ""expr2""}]}}","Row[{""PatternTest"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
Part,Part,680,10,"{{Row[{""expr1"", ""[["", ""expr2"", "","", ""…"", ""]]""}], Row[{""expr1"", ""〚"", ""expr2"", "","", ""…"", ""〛""}]}}","Row[{""Part"", ""["", ""expr1"", "","", ""expr2"", "","", ""…"", ""]""}]",True,n-ary,Infix,,,
Decrement,Decrement,670,11,"{{Row[{""expr"", ""--""}]}}","Row[{""Decrement"", ""["", ""expr"", ""]""}]",True,Unary,Postfix,,,
Increment,Increment,670,11,"{{Row[{""expr"", ""++""}]}}","Row[{""Increment"", ""["", ""expr"", ""]""}]",True,Unary,Postfix,,,
PreDecrement,PreDecrement,660,12,"{{Row[{""--"", ""expr""}]}}","Row[{""PreDecrement"", ""["", ""expr"", ""]""}]",True,Unary,Prefix,,,
PreIncrement,PreIncrement,660,12,"{{Row[{""++"", ""expr""}]}}","Row[{""PreIncrement"", ""["", ""expr"", ""]""}]",True,Unary,Prefix,,,
Composition,Composition,650,13,"{{Row[{""expr1"", ""@*"", ""expr2""}]}}","Row[{""Composition"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
