"BlankSequenceHead","",1010,"{""__""}","{}","{}","{{""__"", ""expr""}}","Row[{""BlankSequence"", ""["", ""expr"", ""]""}]","Unary","Prefix","Non","BlankSequence[expr]"
"BlankNullSequenceHead","",1010,"{""___""}","{}","{}","{{""___"", ""expr""}}","Row[{""BlankNullSequence"", ""["", ""expr"", ""]""}]","Unary","Prefix","Non","BlankNullSequence[expr]"
"NamedBlankHead","",1000,"{}","{""_""}","{}","{{""symb"", ""_"", ""expr""}}","Row[{""Pattern"", ""["", ""symb"", "","", ""Blank"", ""["", ""expr"", ""]"", ""]""}]","Binary","Infix","Non","Pattern[symb, Blank[expr]]"
"NamedBlankSequenceHead","",1000,"{}","{""__""}","{}","{{""symb"", ""__"", ""expr""}}","Row[{""Pattern"", ""["", ""symb"", "","", ""BlankSequence"", ""["", ""expr"", ""]"", ""]""}]","Binary","Infix","Non","Pattern[symb, BlankSequence[expr]]"
"NamedBlankNullSequenceHead","",1000,"{}","{""___""}","{}","{{""symb"", ""___"", ""expr""}}","Row[{""Pattern"", ""["", ""symb"", "","", ""BlankNullSequence"", ""["", ""expr"", ""]"", ""]""}]","Binary","Infix","Non","Pattern[symb, BlankNullSequence[expr]]"
"NamedBlank","",990,"{}","{""_""}","{}","{{""symb"", ""_""}}","Row[{""Pattern"", ""["", ""symb"", "","", ""Blank"", ""["", ""]"", ""]""}]","Unary","Postfix","Non","Pattern[symb, Blank[]]"
"NamedBlankSequence","",990,"{}","{""__""}","{}","{{""symb"", ""__""}}","Row[{""Pattern"", ""["", ""symb"", "","", ""BlankSequence"", ""["", ""]"", ""]""}]","Unary","Postfix","Non","Pattern[symb, BlankSequence[]]"
"NamedBlankOptional","",990,"{}","{""_.""}","{}","{{""symb"", ""_.""}}","Row[{""Optional"", ""["", ""Pattern"", "","", ""Blank"", ""["", ""]"", ""]"", ""]""}]","Unary","Postfix","Non","Optional[Pattern[symb, Blank[]]]"
"NamedBlankNullSequence","",990,"{}","{""___""}","{}","{{""symb"", ""___""}}","Row[{""Pattern"", ""["", ""symb"", "","", ""BlankNullSequence"", ""["", ""]"", ""]""}]","Unary","Postfix","Non","Pattern[symb, BlankNullSequence[]]"
"Blank","",980,"{""_""}","{}","{}","{{""_""}}","Row[{""Blank"", ""["", ""]""}]","Nullary","None","Non","Blank[]"
"BlankNullSequence","",980,"{""___""}","{}","{}","{{""___""}}","Row[{""BlankNullSequence"", ""["", ""]""}]","Nullary","None","Non","BlankNullSequence[]"
"BlankOptional","",980,"{""_.""}","{}","{}","{{""_.""}}","Row[{""Optional"", ""["", ""Blank"", ""]""}]","Nullary","None","Non","Optional[Blank[]]"
"BlankSequence","",980,"{""__""}","{}","{}","{{""__""}}","Row[{""BlankSequence"", ""["", ""]""}]","Nullary","None","Non","BlankSequence[]"
"Get","",970,"{""<<""}","{}","{}","{{""<<"", ""filename""}}","Row[{""Get"", ""["", ""\"""", ""filename""}]","Unary","Prefix","Right","Get[""filename""]"
