Unofficial Name,Name,Parser Exception,NewPrec,RightPrec,Me,"Precedence Rank (WLD, corrected)","Precedence (UnicodeCharacters.tr, corrected)",Usage,Parse,Arity,Affix,Associativity,Usage String,FullForm,Meaningful,Comments
ContextPathSeparator,None,X,-10,760,-10,1,,"{{Row[{""symb1"", ""`"", ""symb2""}]}}","{{Row[{""symb1"", ""`"", ""symb2""}]}}",,,Non,,,True,"Functions as a decimal point: either contextpath1 or contextpath2 may be empty, but not both at the same time."
MessageName,MessageName,,1060,750,,2,,"{{Row[{""expr"", ""::"", ""string""}]}}","Row[{""MessageName"", ""["", ""expr"", "","", ""\"""", ""string"", ""\"""", ""]""}]",Binary,Infix,Non,expr::string,"MessageName[expr, ""string""]",True,
SlotNumber,Slot,X,1050,740,2,3,,"{{Row[{""#"", ""n""}]}}","Row[{""Slot"", ""["", ""n"", ""]""}]",Unary,Prefix,Non,#n,Slot[n],True,
SlotSequenceNumber,SlotSequence,X,1050,740,2,3,,"{{Row[{""##"", ""n""}]}}","Row[{""SlotSequence"", ""["", ""n"", ""]""}]",Unary,Prefix,Non,##n,SlotSequence[n],True,
Slot,Slot,X,1040,740,1,3,,"{{Row[{""#""}]}}","Row[{""Slot"", ""["", ""1"", ""]""}]",Nullary,None,Non,#,Slot[1],True,
SlotSequence,SlotSequence,X,1040,740,1,3,,"{{Row[{""##""}]}}","Row[{""SlotSequence"", ""["", ""1"", ""]""}]",Nullary,None,Non,##,SlotSequence[1],True,
Out,Out,,1030,735,2,4,,"{{Row[{""%%"", ""…"", ""%""}]}}","Row[{""Out"", ""["", ""-"", ""n"", ""]""}]",Nullary,None,Non,%%…%,Out[-n],True,
OutNumber,Out,,1020,735,1,4,,"{{Row[{""%"", ""n""}]}}","Row[{""Out"", ""["", ""n"", ""]""}]",Unary,Prefix,Non,%n,Out[n],True,
BlankHead,Blank,,1010,730,4,5,,"{{Row[{""_"", ""expr""}]}}","Row[{""Blank"", ""["", ""expr"", ""]""}]",Unary,Prefix,Non,_expr,Blank[expr],True,
BlankSequenceHead,BlankSequence,,1010,730,4,5,,"{{Row[{""__"", ""expr""}]}}","Row[{""BlankSequence"", ""["", ""expr"", ""]""}]",Unary,Prefix,Non,__expr,BlankSequence[expr],True,
