9826,"♢","DiamondSuit"
62628,"","DifferenceDelta"
63308,"","DifferentialD"
989,"ϝ","Digamma"
62421,"","DirectedEdge"
62629,"","DiscreteRatio"
62627,"","DiscreteShift"
173,"­","DiscretionaryHyphen"
63342,"","DiscretionaryLineSeparator"
62399,"","DiscretionaryPageBreakAbove"
62406,"","DiscretionaryPageBreakBelow"
63343,"","DiscretionaryParagraphSeparator"
62418,"","Distributed"
62423,"","Divergence"
247,"÷","Divide"
8739,"∣","Divides"
8725,"∕","DivisionSlash"
8784,"≐","DotEqual"
305,"ı","DotlessI"
63232,"","DotlessJ"
63313,"","DottedSquare"
8751,"∯","DoubleContourIntegral"
8225,"‡","DoubleDagger"
63306,"","DoubledGamma"
168,"¨","DoubleDot"
8659,"⇓","DoubleDownArrow"
63305,"","DoubledPi"
8656,"⇐","DoubleLeftArrow"
8660,"⇔","DoubleLeftRightArrow"
10980,"⫤","DoubleLeftTee"
10232,"⟸","DoubleLongLeftArrow"
10234,"⟺","DoubleLongLeftRightArrow"
10233,"⟹","DoubleLongRightArrow"
8243,"″","DoublePrime"
8658,"⇒","DoubleRightArrow"
8872,"⊨","DoubleRightTee"
63206,"","DoubleStruckA"
63207,"","DoubleStruckB"
63208,"","DoubleStruckC"
63396,"","DoubleStruckCapitalA"
63397,"","DoubleStruckCapitalB"
63398,"","DoubleStruckCapitalC"
63399,"","DoubleStruckCapitalD"
63400,"","DoubleStruckCapitalE"
63401,"","DoubleStruckCapitalF"
63402,"","DoubleStruckCapitalG"
63403,"","DoubleStruckCapitalH"
63404,"","DoubleStruckCapitalI"
63405,"","DoubleStruckCapitalJ"
63406,"","DoubleStruckCapitalK"
63407,"","DoubleStruckCapitalL"
63408,"","DoubleStruckCapitalM"
63409,"","DoubleStruckCapitalN"
63410,"","DoubleStruckCapitalO"
63411,"","DoubleStruckCapitalP"
63412,"","DoubleStruckCapitalQ"
63413,"","DoubleStruckCapitalR"
63414,"","DoubleStruckCapitalS"
63415,"","DoubleStruckCapitalT"
63416,"","DoubleStruckCapitalU"
63417,"","DoubleStruckCapitalV"
63418,"","DoubleStruckCapitalW"
63419,"","DoubleStruckCapitalX"
63420,"","DoubleStruckCapitalY"
63421,"","DoubleStruckCapitalZ"
63209,"","DoubleStruckD"
63210,"","DoubleStruckE"
63459,"","DoubleStruckEight"
63211,"","DoubleStruckF"
63456,"","DoubleStruckFive"
63455,"","DoubleStruckFour"
63212,"","DoubleStruckG"
63213,"","DoubleStruckH"
63214,"","DoubleStruckI"
63215,"","DoubleStruckJ"
63216,"","DoubleStruckK"
63217,"","DoubleStruckL"
63218,"","DoubleStruckM"
63219,"","DoubleStruckN"
63460,"","DoubleStruckNine"
63220,"","DoubleStruckO"
63452,"","DoubleStruckOne"
63221,"","DoubleStruckP"
63222,"","DoubleStruckQ"
63223,"","DoubleStruckR"
63224,"","DoubleStruckS"
63458,"","DoubleStruckSeven"
63457,"","DoubleStruckSix"
63225,"","DoubleStruckT"
63454,"","DoubleStruckThree"
63453,"","DoubleStruckTwo"
63226,"","DoubleStruckU"
63227,"","DoubleStruckV"
63228,"","DoubleStruckW"
63229,"","DoubleStruckX"
63230,"","DoubleStruckY"
63231,"","DoubleStruckZ"
63451,"","DoubleStruckZero"
8657,"⇑","DoubleUpArrow"
8661,"⇕","DoubleUpDownArrow"
8741,"∥","DoubleVerticalBar"
8595,"↓","DownArrow"
10515,"⤓","DownArrowBar"
8693,"⇵","DownArrowUpArrow"
63317,"","DownBreve"
161,"¡","DownExclamation"
10576,"⥐","DownLeftRightVector"
10590,"⥞","DownLeftTeeVector"
8637,"↽","DownLeftVector"
10582,"⥖","DownLeftVectorBar"
9662,"▾","DownPointer"
191,"¿","DownQuestion"
