"≠","NotEqual","NOT EQUAL TO","($!=$   $&NotEqual;$   $\neq$   $\ne$   $\not=$)","Infix",390,"None","","0x2260",8800,""
"≮","NotLess","NOT LESS-THAN","($!<$   $&NotLess;$   $\nless$)","Infix",390,"None","","0x226E",8814,""
"≯","NotGreater","NOT GREATER-THAN","($!>$   $&NotGreater;$   $\ngtr$)","Infix",390,"None","","0x226F",8815,""
"≤","LessEqual","LESS-THAN OR EQUAL TO","($<=$   $&leq;$   $\leq$   $\le$)","Infix",390,"None","","0x2264",8804,""
"≪","LessLess","MUCH LESS-THAN","($&LessLess;$   $\ll$)","Infix",390,"None","","0x226A",8810,""
"≫","GreaterGreater","MUCH GREATER-THAN","($&GreaterGreater;$   $\gg$)","Infix",390,"None","","0x226B",8811,""
"≰","NotLessEqual","NEITHER LESS-THAN NOR EQUAL TO","($!<=$   $&NotLessEqual;$   $\nleq$)","Infix",390,"None","","0x2270",8816,""
"≥","GreaterEqual","GREATER-THAN OR EQUAL TO","($>=$   $&GreaterEqual;$   $\geq$   $\ge$)","Infix",390,"None","","0x2265",8805,""
"≱","NotGreaterEqual","NEITHER GREATER-THAN NOR EQUAL TO","($!>=$   $&NotGreaterEqual;$   $\ngeq$)","Infix",390,"None","","0x2271",8817,""
"⩽","LessSlantEqual","LESS-THAN OR SLANTED EQUAL TO","($</$   $&LessSlantEqual;$)","Infix",390,"None","","0x2A7D",10877,""
"≦","LessFullEqual","LESS-THAN OVER EQUAL TO","($&LessFullEqual;$)","Infix",390,"None","","0x2266",8806,""
"","NotLessLess","","($&NotLessLess;$)","Infix",390,"None","","0xF422",62498,""
"","NotNestedLessLess","","($&NotNestedLessLess;$)","Infix",390,"None","","0xF423",62499,""
"","NotLessSlantEqual","","($!</$   $&NotLessSlantEqual;$)","Infix",390,"None","","0xF424",62500,""
"≨","NotLessFullEqual","LESS-THAN BUT NOT EQUAL TO","($&NotLessFullEqual;$)","Infix",390,"None","","0x2268",8808,""
