"NotNestedGreaterGreater",290.
"NotNestedLessLess",290.
"NotPrecedes",290.
"NotPrecedesEqual",290.
"NotPrecedesSlantEqual",290.
"NotPrecedesTilde",290.
"NotRightTriangle",290.
"NotRightTriangleBar",290.
"NotRightTriangleEqual",290.
"NotSucceeds",290.
"NotSucceedsEqual",290.
"NotSucceedsSlantEqual",290.
"NotSucceedsTilde",290.
"NotTilde",290.
"NotTildeEqual",290.
"NotTildeFullEqual",290.
"NotTildeTilde",290.
"Precedes",290.
"PrecedesEqual",290.
"PrecedesSlantEqual",290.
"PrecedesTilde",290.
"Proportion",290.
"Proportional",290.
"ReverseEquilibrium",290.
"RightTriangle",290.
"RightTriangleBar",290.
"RightTriangleEqual",290.
"Succeeds",290.
"SucceedsEqual",290.
"SucceedsSlantEqual",290.
"SucceedsTilde",290.
"Tilde",290.
"TildeEqual",290.
"TildeFullEqual",290.
"TildeTilde",290.
"Unequal",290.
"DoubleVerticalBar",280.
"NotDoubleVerticalBar",280.
"NotVerticalBar",280.
"VerticalBar",280.
"DoubleLeftArrow",270.
"DoubleLeftRightArrow",270.
"DoubleRightArrow",270.
"DownLeftRightVector",270.
"DownLeftTeeVector",270.
"DownLeftVector",270.
"DownLeftVectorBar",270.
"DownRightTeeVector",270.
"DownRightVector",270.
"DownRightVectorBar",270.
"LeftArrow",270.
"LeftArrowBar",270.
"LeftArrowRightArrow",270.
"LeftRightArrow",270.
"LeftRightVector",270.
"LeftTeeArrow",270.
"LeftTeeVector",270.
"LeftVector",270.
"LeftVectorBar",270.
"LowerLeftArrow",270.
"LowerRightArrow",270.
"RightArrow",270.
"RightArrowBar",270.
"RightArrowLeftArrow",270.
"RightTeeArrow",270.
"RightTeeVector",270.
"RightVector",270.
"RightVectorBar",270.
"ShortLeftArrow",270.
"ShortRightArrow",270.
"UpperLeftArrow",270.
"UpperRightArrow",270.
"SameQ",290.
"UnsameQ",290.
"Distributed",250.
"Element",250.
"NotElement",250.
"NotReverseElement",250.
"NotSquareSubset",250.
"NotSquareSubsetEqual",250.
"NotSquareSuperset",250.
"NotSquareSupersetEqual",250.
"NotSubset",250.
"NotSubsetEqual",250.
"NotSuperset",250.
"NotSupersetEqual",250.
"ReverseElement",250.
"SquareSubset",250.
"SquareSubsetEqual",250.
"SquareSuperset",250.
"SquareSupersetEqual",250.
"Subset",250.
"SubsetEqual",250.
"Superset",250.
"SupersetEqual",250.
"Exists",240.
"ForAll",240.
"NotExists",240.
"Not",230.
"And",215.
"Nand",215.
"Xnor",215.
"Xor",215.
"Nor",215.
"Or",215.
"Equivalent",205.
"RoundImplies",240.
"Implies",200.
"Conditioned",195.
"DoubleRightTee",190.
"RightTee",190.
"DoubleLeftTee",190.
"DownTee",190.
"LeftTee",190.
"UpTee",190.
"Perpendicular",190.
"SuchThat",180.
"Repeated",170.
"RepeatedNull",170.
"Alternatives",160.
"Pattern",150.
"Optional",140.
"StringExpression",135.
"Condition",130.
"TwoWayRule",125.
"RuleDelayed",120.
"Rule",120.
"ReplaceAll",110.
"ReplaceRepeated",110.
"TimesBy",100.
"SubtractFrom",100.
"DivideBy",100.
"AddTo",100.
"Function",90.
"Colon",80.
"Postfix",70.
"VerticalSeparator",60.
"Therefore",50.
"Because",50.
"Function",90.
"Set",40.
"SetDelayed",40.
"TagSet",670.
"TagSetDelayed",670.
"TagUnset",670.
"Unset",670.
"UpSet",40.
"UpSetDelayed",40.
"Put",30.
"PutAppend",30.
"CompoundExpression",10.
"CompoundExpression",10.
"FormBox",670.
"Comma",670.
